 ID,Company,Product,Issue,State,Submitted via,Date received,Date resolved,Timely response?,Consumer disputed?,state name,Date received,Date resolved,Resolution time(in days),Year,QTR (US FLY)
1615767,PHH Mortgage,Mortgage,"Loan servicing, payments, escrow account",FL,Web,10/20/2015,10/20/2015,Yes,No,Florida,10/20/2015,10/20/2015,0,2015,Q4
654223,Ocwen,Mortgage,"Loan servicing, payments, escrow account",NC,Web,03/01/2014,03/01/2014,Yes,No,North Carolina,01/03/2014,01/03/2014,0,2014,Q1
1143398,"Southwest Credit Systems, L.P.",Debt collection,"Loan modification,collection,foreclosure",MO,Web,04/12/2014,04/12/2014,Yes,No,Missouri,12/04/2014,12/04/2014,0,2014,Q4
1303679,"Continental Finance Company, LLC",Credit card,Billing statement,WA,Web,03/26/2015,03/26/2015,Yes,No,Washington,3/26/2015,3/26/2015,0,2015,Q1
1627370,Experian,Credit reporting,Unable to get credit report/credit score,VA,Web,10/27/2015,10/27/2015,Yes,No,Virginia,10/27/2015,10/27/2015,0,2015,Q4
1390231,Encore Capital Group,Debt collection,False statements or representation,IL,Web,05/23/2015,05/23/2015,Yes,No,Illinois,5/23/2015,5/23/2015,0,2015,Q2
1946542,Regions Financial Corporation,Mortgage,"Application, originator, mortgage broker",FL,Web,05/30/2016,05/31/2016,Yes,No,Florida,5/30/2016,5/31/2016,1,2016,Q2
1414270,AES/PHEAA,Student loan,Dealing with my lender or servicer,OK,Web,10/06/2015,10/06/2015,Yes,No,Oklahoma,06/10/2015,06/10/2015,0,2015,Q2
310830,JPMorgan Chase & Co.,Credit card,Credit reporting,CA,Web,08/02/2013,08/02/2013,Yes,No,California,02/08/2013,02/08/2013,0,2013,Q1
1734499,Equifax,Credit reporting,Credit reporting company's investigation,CA,Web,08/01/2016,08/01/2016,Yes,No,California,01/08/2016,01/08/2016,0,2016,Q1
1744309,JPMorgan Chase & Co.,Bank account or service,Deposits and withdrawals,AZ,Email,01/15/2016,01/20/2016,Yes,No,Arizona,1/15/2016,1/20/2016,5,2016,Q1
1154103,Bank of America,Credit card,Rewards,MO,Web,12/12/2014,12/12/2014,Yes,No,Missouri,12/12/2014,12/12/2014,0,2014,Q4
581301,Stellar Recovery Inc.,Debt collection,"Loan modification,collection,foreclosure",NY,Email,01/11/2013,01/11/2013,Yes,Yes,New York,11/01/2013,11/01/2013,0,2013,Q4
1577224,"LDF Holdings, LLC",Payday loan,Charged fees or interest I didn't expect,MD,Web,09/23/2015,10/22/2015,Yes,No,Maryland,9/23/2015,10/22/2015,29,2015,Q3
1631370,"Carrington Mortgage Holdings, LLC.",Mortgage,"Loan servicing, payments, escrow account",FL,Web,10/29/2015,10/29/2015,Yes,No,Florida,10/29/2015,10/29/2015,0,2015,Q4
1994209,Citibank,Bank account or service,"Account opening, closing, or management",MO,Web,06/30/2016,06/30/2016,Yes,No,Missouri,6/30/2016,6/30/2016,0,2016,Q2
2152909,"Selip & Stylianou, LLP",Debt collection,Taking/threatening an illegal action,NY,Web,09/10/2016,09/10/2016,Yes,Yes,New York,10/09/2016,10/09/2016,0,2016,Q4
465476,Capital One,Bank account or service,"Account opening, closing, or management",AK,Web,07/24/2013,07/26/2013,Yes,No,Alaska,7/24/2013,7/26/2013,2,2013,Q3
2055350,"TransUnion Intermediate Holdings, Inc.",Credit reporting,Credit reporting company's investigation,NC,Web,11/08/2016,11/08/2016,Yes,No,North Carolina,08/11/2016,08/11/2016,0,2016,Q3
382848,Nationstar Mortgage,Mortgage,"Loan servicing, payments, escrow account",CA,Web,04/15/2013,06/19/2013,Yes,No,California,4/15/2013,6/19/2013,65,2013,Q2
1204170,Citibank,Mortgage,"Loan servicing, payments, escrow account",NJ,Email,01/22/2015,01/27/2015,Yes,No,New Jersey,1/22/2015,1/27/2015,5,2015,Q1
1774653,Wells Fargo & Company,Mortgage,"Loan servicing, payments, escrow account",TX,Postal mail,05/02/2016,05/02/2016,Yes,No,Texas,02/05/2016,02/05/2016,0,2016,Q1
2079223,U.S. Bancorp,Bank account or service,"Making/receiving payments, sending money",CA,Web,08/25/2016,08/25/2016,Yes,No,California,8/25/2016,8/25/2016,0,2016,Q3
